School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
BRIARCREST ELEMENTARY,2015-16,505,94.1,4.4,0.2,4.2,0,0,1.8,2,2.2,2.8,3.4,4,475,22,1,21,0,0,9,10,11,14,17,20,Y,SHORELINE SCHOOL DISTRICT,2715 N.E. 158TH STREET,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
BRIARWOOD ELEMENTARY,2015-16,606,93.2,5.8,2.1,4,0,0,2,2,2,2.8,3.5,4.1,565,35,13,24,0,0,12,12,12,17,21,25,Y,ISSAQUAH SCHOOL DISTRICT,17020 SE 134TH ST,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BRIDGEPORT AURORA HIGH SCHOOL,2015-16,26,61.5,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,Y,BRIDGEPORT SCHOOL DISTRICT,1400 TACOMA AVE,BRIDGEPORT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
BRIDGEPORT ELEMENTARY,2015-16,417,75.8,3.1,2.4,0,0.5,0.2,1.2,1.2,1.2,1,1.7,1.4,316,13,10,0,2,1,5,5,5,4,7,6,Y,BRIDGEPORT SCHOOL DISTRICT,1400 TACOMA AVE,BRIDGEPORT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-5,Y,N
BRIDGEPORT HIGH SCHOOL,2015-16,224,86.6,1.3,0.9,0.4,0,0,0.4,0,1.3,0.4,0.4,0,194,3,2,1,0,0,1,0,3,1,1,0,Y,BRIDGEPORT SCHOOL DISTRICT,1220 KRYGER AVE,BRIDGEPORT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
BRIDGEPORT MIDDLE SCHOOL,2015-16,59,23.7,10.2,8.5,0,0,1.7,1.7,1.7,3.4,1.7,6.8,3.4,14,6,5,0,0,1,1,1,2,1,4,2,Y,BRIDGEPORT SCHOOL DISTRICT,1300 DOUGLAS,BRIDGEPORT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-8,N,Y
BRIDGEWAY CHRISTIAN ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,FERNDALE SCHOOL DISTRICT,858 W SMITH RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-5,Y,N
BRIER ELEMENTARY,2015-16,434,88.9,6.7,1.4,5.5,0,0,3.2,3,4.1,3.9,2.3,5.5,386,29,6,24,0,0,14,13,18,17,10,24,Y,EDMONDS SCHOOL DISTRICT,3625 232ND ST SW,BRIER,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
BRIER TERRACE MIDDLE SCHOOL,2015-16,657,88.3,6.7,0.8,6.1,0.3,0,3.3,2.1,3.2,3.7,3,5.2,580,44,5,40,2,0,22,14,21,24,20,34,Y,EDMONDS SCHOOL DISTRICT,22200 BRIER ROAD,BRIER,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
BRIGADOON ELEMENTARY SCHOOL,2015-16,401,92.3,1.2,0,1.2,0,0,1,1,1.2,1,0.5,1,370,5,0,5,0,0,4,4,5,4,2,4,Y,FEDERAL WAY SCHOOL DISTRICT,3601 SW 336TH ST,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
BRIGHT WATER SCHOOL,2015-16,165,53.9,46.1,1.8,44.2,0,0,30.3,25.5,29.7,37,38.2,35.8,89,76,3,73,0,0,50,42,49,61,63,59,Y,SEATTLE PUBLIC SCHOOLS,1501 TENTH AVE E  SUITE 100,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
BRIGHTMONT ACADEMY--BELLEVUE CAMPUS,2015-16,6,100,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,12360 NE 8TH ST  SUITE 210,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,N,Y
BRIGHTMONT ACADEMY--SAMMAMISH CAMPUS,2015-16,6,100,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Y,LAKE WASHINGTON SCHOOL DISTRICT,711 228TH AVE NE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,N,Y
BRIGHTMONT ACADEMY--SEATTLE CAMPUS,2015-16,6,100,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,9750 THIRD AVE NE  STE 102,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,N,Y
BRIGHTON SCHOOL,2015-16,260,90.4,0.8,0,0.8,0,0,0.4,0.4,0.8,0.8,0.4,0.8,235,2,0,2,0,0,1,1,2,2,1,2,Y,EDMONDS SCHOOL DISTRICT,6717 212TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
BRINNON ELEMENTARY,2015-16,45,80,8.9,2.2,6.7,0,0,4.4,4.4,6.7,6.7,4.4,6.7,36,4,1,3,0,0,2,2,3,3,2,3,Y,BRINNON SCHOOL DISTRICT,46 SCHOOLHOUSE RD,BRINNON,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -8,Y,Y
BROADVIEW ELEMENTARY,2015-16,528,96,3.4,1.3,2.3,0,0,1.9,1.9,2.3,1.9,1.9,1.9,507,18,7,12,0,0,10,10,12,10,10,10,Y,OAK HARBOR SCHOOL DISTRICT,473 SW FAIRHAVEN DR.,OAK HARBOR,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
BROADVIEW-THOMSON K-8 SCHOOL,2015-16,607,73.8,4.4,1.8,2.8,0.5,0,2.3,2.3,3,2.3,2.5,4,448,27,11,17,3,0,14,14,18,14,15,24,Y,SEATTLE PUBLIC SCHOOLS,13052 GREENWOOD AV N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-8,Y,Y
BROADWAY ELEMENTARY,2015-16,496,89.1,4.8,0.2,3.6,0.4,0.6,4,3,3.8,4,3.8,4.4,442,24,1,18,2,3,20,15,19,20,19,22,Y,CENTRAL VALLEY SCHOOL DISTRICT,11016 E BROADWAY AVENUE,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
BROOKDALE ELEMENTARY,2015-16,493,97.2,1.8,0.2,1.2,0,0.4,1.6,1.6,1.8,1.6,1.4,1.8,479,9,1,6,0,2,8,8,9,8,7,9,Y,FRANKLIN PIERCE SCHOOL DISTRICT,611 132ND STREET S,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
BROOKLAKE CHRISTIAN SCHOOL,2015-16,66,77.3,6.1,0,6.1,0,0,6.1,6.1,6.1,6.1,6.1,6.1,51,4,0,4,0,0,4,4,4,4,4,4,Y,FEDERAL WAY SCHOOL DISTRICT,629 S 356TH ST,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
BROOKSIDE ELEMENTARY,2015-16,509,91.2,7.9,1,7.3,0,0,4.3,4.1,3.9,5.3,5.9,5.5,464,40,5,37,0,0,22,21,20,27,30,28,Y,SHORELINE SCHOOL DISTRICT,17447 37TH AVENUE N.E.,LAKE FOREST PARK,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
BROUILLET ELEMENTARY,2015-16,721,95.6,4.4,0.6,3.3,0.3,0.3,2.5,1,2.6,2.6,2.9,3.5,689,32,4,24,2,2,18,7,19,19,21,25,Y,PUYALLUP SCHOOL DISTRICT,17207 94TH AVE E,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
BROWNE ELEMENTARY,2015-16,426,91.1,8.9,2.6,5.9,0.7,0.7,5.4,5.4,4.7,4.7,5.4,6.1,388,38,11,25,3,3,23,23,20,20,23,26,Y,SPOKANE SCHOOL DISTRICT,5102 N DRISCOLL BLVD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
