School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,Address,City,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,,,
SAKAI INTERMEDIATE,2014-15,559,91.9,7,0.4,6.6,0.2,0,2.1,2.3,2.7,2.1,4.5,4.8,514,39,2,37,1,0,12,13,15,12,25,27,Y,9343 NE SPORTSMAN CLUB RD,BAINBRIDGE ISLAND,BAINBRIDGE ISLAND SCHOOL DISTRICT,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43226,N,Y,,,
SALEM WOODS ELEMENTARY SCHOOL,2014-15,463,90.5,8.9,3.9,5.2,0.2,0,5.8,6,6.5,6.9,8,6.9,419,41,18,24,1,0,27,28,30,32,37,32,Y,12802 WAGNER RD.,MONROE,MONROE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,,,
SALK MIDDLE SCHOOL,2014-15,752,75.9,8.5,1.6,5.6,0.5,0.4,5.1,5.1,4,3.7,3.9,5.9,571,64,12,42,4,3,38,38,30,28,29,44,Y,6411 N ALBERTA ST,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43289,N,N,,,
SALMON BAY K-8 SCHOOL,2014-15,673,62.6,24.1,8.5,18.4,0.1,0,5.9,5.8,10.4,9.7,14.6,20.5,421,162,57,124,1,0,40,39,70,65,98,138,Y,1810 NW 65 ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -8,Y,Y,,,
SALMON CREEK ELEMENTARY,2014-15,526,91.8,7.6,2.1,4.8,0.4,0.4,4.2,4.2,4.9,4.6,5.3,5.1,483,40,11,25,2,2,22,22,26,24,28,27,Y,1601 NE 129TH ST,VANCOUVER,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
SALMONBERRY SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,867 N BEACH RD,EASTSOUND,ORCAS ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-6,Y,Y,,,
SALNAVE ELEMENTARY,2014-15,379,78.6,10,0.5,9.2,0.5,0,7.4,7.1,7.1,7.1,6.3,9.5,298,38,2,35,2,0,28,27,27,27,24,36,Y,1015 SALNAVE ROAD,CHENEY,CHENEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -5,Y,N,,,
SALTARS POINT ELEMENTARY,2014-15,431,92.3,5.1,0.7,4.2,0.2,0,2.3,2.3,3.2,2.3,2.6,3.7,398,22,3,18,1,0,10,10,14,10,11,16,Y,908 3RD STREET,STEILACOOM,STEILACOOM HIST. SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43195,N,N,,,
SAMISH ELEMENTARY SCHOOL,2014-15,184,90.2,8.7,2.2,6.5,0,0,7.1,6.5,6.5,7.1,6,8.2,166,16,4,12,0,0,13,12,12,13,11,15,Y,23953 PRAIRIE ROAD,SEDRO-WOOLLEY,SEDRO-WOOLLEY SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
SAMMAMISH SENIOR HIGH,2014-15,959,82.3,12.1,6.9,5.2,0,0,3.9,0,3.6,3.4,4.8,8.7,789,116,66,50,0,0,37,0,35,33,46,83,Y,100  140TH AVENUE SE,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
SAND HILL ELEMENTARY,2014-15,434,86.2,6.5,0.5,4.8,1.2,0,5.5,5.5,5.5,5.3,5.1,6.2,374,28,2,21,5,0,24,24,24,23,22,27,Y,NE 791 SAND HILL RD.,BELFAIR,NORTH MASON SCHOOL DISTRICT,MASON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N,,,
SAND POINT ELEMENTARY,2014-15,262,85.5,7.6,4.2,1.9,1.1,0.4,0.8,0.8,2.3,2.7,1.9,5.7,224,20,11,5,3,1,2,2,6,7,5,15,Y,6208 60 AVE NE,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
SANDBURG ELEMENTARY,2014-15,512,87.7,5.5,1.4,3.9,0.2,0.2,2.7,2.7,3.3,3.3,3.9,3.7,449,28,7,20,1,1,14,14,17,17,20,19,Y,12801 - 84TH AVE NE,KIRKLAND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
SANISLO ELEMENTARY SCHOOL,2014-15,281,81.5,4.3,2.5,1.8,0,0,0.4,0.4,1.1,1.1,1.4,2.1,229,12,7,5,0,0,1,1,3,3,4,6,Y,1812 SW MYRTLE ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
SARAH J ANDERSON ELEMENTARY,2014-15,789,91.9,5.2,0.4,4.6,0.3,0,4.1,4.1,4.2,4.1,4.1,4.4,725,41,3,36,2,0,32,32,33,32,32,35,Y,2215 NE 104TH ST,VANCOUVER,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
SATSOP ELEMENTARY,2014-15,60,80,13.3,1.7,11.7,0,0,3.3,3.3,3.3,3.3,11.7,6.7,48,8,1,7,0,0,2,2,2,2,7,4,Y,BOX 96,SATSOP,SATSOP SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,,,
SATUS ELEMENTARY,2014-15,698,66.6,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,Y,910 S. CAMAS AVENUE,WAPATO,WAPATO SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N,,,
SAWYER WOODS ELEMENTARY SCHOOL,2014-15,455,93,4.6,0.2,4,0.4,0,3.5,3.5,3.1,3.1,2.6,3.1,423,21,1,18,2,0,16,16,14,14,12,14,Y,31135 228TH AVE SE,BLACK DIAMOND,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
SCCP IMAGES,2014-15,58,72.4,5.2,0,5.2,0,0,3.4,3.4,1.7,1.7,1.7,3.4,42,3,0,3,0,0,2,2,1,1,1,2,Y,1810 N GREENE ST,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43446,N,N,,,
SCENIC HILL ELEMENTARY SCHOOL,2014-15,620,82.9,2.1,0.5,1.6,0,0,1.3,1.3,1.1,1.3,1.3,1.3,514,13,3,10,0,0,8,8,7,8,8,8,Y,26025 WOODLAND WAY S,KENT,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
SCHMITZ PARK ELEMENTARY SCHOOL,2014-15,608,83.7,8.6,2.6,5.6,0.2,0.2,2.6,2.6,3.6,4.1,5.9,6.4,509,52,16,34,1,1,16,16,22,25,36,39,Y,5000 SW SPOKANE ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
SCHOOL FOR THE ENTREPRENEUR,2014-15,394,91.9,2.8,0.5,2,0.5,0,2,1.8,2.3,2.3,1.8,0,362,11,2,8,2,0,8,7,9,9,7,0,Y,8301 84TH STREET NE,MARYSVILLE,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
SCHOOL HOME PARTNERSHIP PROGRAM,2014-15,126,84.1,1.6,0,1.6,0,0,1.6,1.6,0,0,0.8,0,106,2,0,2,0,0,2,2,0,0,1,0,Y,4220 80TH ST NE,MARYSVILLE,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y,,,
SCIENCE AND MATH INSTITUTE,2014-15,455,94.5,3.5,0,3.5,0,0,0,0,0,0,0,0.2,430,16,0,16,0,0,0,0,0,0,0,1,Y,5501 N. PEARL ST,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
SCOOTNEY SPRINGS ELEMENTARY,2014-15,529,97,2.1,0.9,1.1,0.2,0,1.1,1.1,1.5,1.1,1.3,1.5,513,11,5,6,1,0,6,6,8,6,7,8,Y,695 S 14TH AVE,OTHELLO,OTHELLO SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,,,
SCRIBER LAKE HIGH SCHOOL,2014-15,291,75.9,4.5,0.3,4.1,0,0,2.4,2.1,2.4,0.7,2.7,0,221,13,1,12,0,0,7,6,7,2,8,0,Y,23200 100TH AVE W,EDMONDS,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
SEABURY SCHOOL,2014-15,50,92,8,0,8,0,0,0,0,8,2,8,0,46,4,0,4,0,0,0,0,4,1,4,0,Y,1801 NE 53RD ST,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K+,Y,N,,,
SEABURY SCHOOL--MIDDLE SCHOOL CAMPUS,2014-15,24,95.8,4.2,0,4.2,0,0,0,0,4.2,0,4.2,0,23,1,0,1,0,0,0,0,1,0,1,0,Y,925 COURT C,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
SEAHURST ELEMENTARY SCHOOL,2014-15,596,94.8,0.8,0.2,0.7,0,0,0.5,0.5,0.5,0.7,0.8,0.5,565,5,1,4,0,0,3,3,3,4,5,3,Y,14603 14TH AVE SW,BURIEN,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
SEATTLE ACADEMY OF ARTS/SCIENCES,2014-15,729,98.4,1.6,0.5,1.1,0.4,0,0.3,0.4,0.4,0.3,0.3,0.3,717,12,4,8,3,0,2,3,3,2,2,2,Y,1201 E UNION ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43263,N,Y,,,
SEATTLE AMISTAD SCHOOL,2014-15,65,47.7,1.5,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,31,1,0,0,0,1,1,1,1,1,1,1,Y,2410 E CHERRY,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,Y,N,,,
SEATTLE AREA GERMAN AMERICAN SCHOOL,2014-15,31,96.8,3.2,0,3.2,0,0,0,0,0,0,3.2,0,30,1,0,1,0,0,0,0,0,0,1,0,Y,5031 UNIVERSITY WAY NE,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N,,,
SEATTLE CHRISTIAN SCHOOL,2014-15,519,91.3,5.8,0.6,5.2,0,0,3.3,3.3,3.7,3.9,4.2,3.5,474,30,3,27,0,0,17,17,19,20,22,18,Y,18301 MILITARY RD S,SEATTLE,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,Y,Y,,,
SEATTLE CLASSICAL CHRISTIAN SCHOOL,2014-15,62,72.6,27.4,1.6,25.8,0,0,9.7,9.7,22.6,14.5,17.7,22.6,45,17,1,16,0,0,6,6,14,9,11,14,Y,1013 8TH AVE,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-4,Y,N,,,
SEATTLE COUNTRY DAY SCHOOL,2014-15,356,96.6,3.4,0.3,3.1,0,0,1.1,1.4,1.1,1.4,2.8,1.7,344,12,1,11,0,0,4,5,4,5,10,6,Y,2619 4TH AVE N,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y,,,
SEATTLE GIRLS SCHOOL,2014-15,105,100,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,Y,2706 S JACKSON ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43228,N,Y,,,
SEATTLE HEBREW ACADEMY,2014-15,161,67.7,9.9,0,9.9,0,0,5,5.6,6.2,5.6,8.1,8.1,109,16,0,16,0,0,8,9,10,9,13,13,Y,1617 INTERLAKEN DR E,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,,,
SEATTLE HILL ELEMENTARY,2014-15,636,87.9,8.5,2.2,6.1,0.3,0,4.7,4.6,5.8,5.3,5.2,6.8,559,54,14,39,2,0,30,29,37,34,33,43,Y,12711 51ST AVE SE,EVERETT,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
SEATTLE JEWISH COMMUNITY SCHOOL,2014-15,90,96.7,3.3,0,2.2,1.1,0,3.3,3.3,3.3,3.3,3.3,3.3,87,3,0,2,1,0,3,3,3,3,3,3,Y,12351 8TH AVE NE,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N,,,
SEATTLE LUTHERAN HIGH SCHOOL,2014-15,120,99.2,0.8,0,0.8,0,0,0.8,0.8,0.8,0.8,0.8,0.8,119,1,0,1,0,0,1,1,1,1,1,1,Y,4100 SW GENESEE ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
SEATTLE PREP/MATTEO RICCI COLLEGE,2014-15,721,99.9,0.1,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,720,1,0,0,1,0,1,1,1,1,1,1,Y,2400 11TH AVE E,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
SEATTLE URBAN ACADEMY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,3800 S OTHELLO ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
SEATTLE WALDORF SCHOOL,2014-15,353,36.5,38.5,3.7,33.7,1.1,0,25.8,25.2,24.6,24.1,36.3,32.6,129,136,13,119,4,0,91,89,87,85,128,115,Y,2728 NE 100TH ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,,,
SEATTLE WORLD SCHOOL,2014-15,270,25.9,4.4,4.1,0.4,0,0,0.4,0.4,0.7,0.4,3,2.2,70,12,11,1,0,0,1,1,2,1,8,6,Y,301 21ST AVE E,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43263,N,Y,,,
SEAVIEW ELEMENTARY,2014-15,373,92.5,7.5,1.3,6.4,0,0,4.8,4.6,5.6,5.6,4.3,6.7,345,28,5,24,0,0,18,17,21,21,16,25,Y,8426 188TH ST SW,EDMONDS,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
SECONDARY ACADEMY FOR SUCCESS,2014-15,132,89.4,5.3,0,5.3,0,0,3.8,3.8,3.8,3,4.5,0,118,7,0,7,0,0,5,5,5,4,6,0,Y,22107 23RD DR SE,BOTHELL,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43293,N,N,,,
SECONDARY LEARNING CENTER,2014-15,299,94.3,2.7,0.7,2,0,0,1.3,1.3,1,1,0.7,0,282,8,2,6,0,0,4,4,3,3,2,0,Y,7800 S 132ND ST,SEATTLE,RENTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43263,N,Y,,,
SECONDARY OPTIONS,2014-15,106,75.5,8.5,0,7.5,0.9,0,4.7,3.8,5.7,1.9,4.7,0,80,9,0,8,1,0,5,4,6,2,5,0,Y,7741 LITTLEROCK ROAD SW,OLYMPIA,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,43324,N,N,,,
SEDRO WOOLLEY SENIOR HIGH SCHOOL,2014-15,1189,92.9,7.1,0.5,6.4,0.2,0.1,6,5.6,3.6,3.4,3.5,0,1104,84,6,76,2,1,71,66,43,40,42,0,Y,1235 THIRD STREET,SEDRO-WOOLLEY,SEDRO-WOOLLEY SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
SEHOME HIGH SCHOOL,2014-15,1143,92.4,6.4,0.3,6.1,0,0,3.8,1.4,3.5,3.6,5.8,0,1056,73,3,70,0,0,44,16,40,41,66,0,Y,2700 BILL MCDONALD PKWY,BELLINGHAM,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
SELAH ACADEMY,2014-15,43,93,2.3,0,0,2.3,0,2.3,2.3,2.3,0,2.3,0,40,1,0,0,1,0,1,1,1,0,1,0,Y,801 NORTH FIRST STREET,SELAH,SELAH SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,43324,N,N,,,
SELAH COVENANT CHRISTIAN SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,560 MCGONAGLE DR,SELAH,SELAH SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,43106,N,Y,,,
SELAH HIGH SCHOOL,2014-15,1014,96.5,2.8,0.3,2.2,0.4,0.1,1.8,1.8,1.8,0.9,1.3,0,979,28,3,22,4,1,18,18,18,9,13,0,Y,801 NORTH FIRST STREET,SELAH,SELAH SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,43385,N,N,,,
SELAH HOMELINK,2014-15,28,71.4,10.7,0,10.7,0,0,3.6,3.6,3.6,10.7,7.1,7.1,20,3,0,3,0,0,1,1,1,3,2,2,Y,105 WEST BARTLETT,SELAH,SELAH SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -8,Y,Y,,,
SELAH INTERMEDIATE,2014-15,799,95.9,2.5,0.1,2.4,0,0,0.4,0.4,0.5,0.4,0.9,1.5,766,20,1,19,0,0,3,3,4,3,7,12,Y,1401 WEST FREMONT AVENUE,SELAH,SELAH SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,43227,N,Y,,,
SELAH JUNIOR HIGH SCHOOL,2014-15,287,97.2,2.4,0,1.7,0.7,0,1.4,1.4,2.1,2.1,1.4,0,279,7,0,5,2,0,4,4,6,6,4,0,Y,411 NORTH FIRST STREET,SELAH,SELAH SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,43321,N,N,,,
SELKIRK ELEMENTARY,2014-15,100,88,7,1,5,0,1,3,3,4,3,2,8,88,7,1,5,0,1,3,3,4,3,2,8,Y,219 PARK AVENUE,METALINE FALLS,SELKIRK SCHOOL DISTRICT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N,,,
SELKIRK HIGH SCHOOL,2014-15,79,92.4,7.6,0,6.3,0,1.3,6.3,6.3,7.6,7.6,7.6,0,73,6,0,5,0,1,5,5,6,6,6,0,Y,10372 HIGHWAY 31,IONE,SELKIRK SCHOOL DISTRICT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,43355,N,N,,,
SELKIRK MIDDLE SCHOOL,2014-15,62,95.2,4.8,0,3.2,0,1.6,3.2,3.2,4.8,3.2,3.2,1.6,59,3,0,2,0,1,2,2,3,2,2,1,Y,10372 HIGHWAY 31,IONE,SELKIRK SCHOOL DISTRICT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,43259,N,Y,,,
SENTINEL TECH ALT SCHOOL,2014-15,28,96.4,3.6,0,0,3.6,0,3.6,0,0,0,3.6,0,27,1,0,0,1,0,1,0,0,0,1,0,Y,P.O. BOX 907,MATTAWA,WAHLUKE SCHOOL DISTRICT,GRANT,EDUCATIONAL SERVICE DISTRICT 105,43293,N,N,,,
SEQUIM COMMUNITY SCHOOL (OLYMPIC PENINSULA ACADEMY),2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,220 W ALDER,SEQUIM,SEQUIM SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-12,Y,Y,,,
SEQUIM MIDDLE SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,301 W. HENDRICKSON RD.,SEQUIM,SEQUIM SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,43259,N,Y,,,
SEQUOIA HIGH SCHOOL,2014-15,276,94.6,5.1,0.4,4.7,0,0,4.3,4.3,2.2,1.4,1.1,0,261,14,1,13,0,0,12,12,6,4,3,0,Y,3516 RUCKER,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
SEQUOYAH MIDDLE SCHOOL,2014-15,526,80.8,3.2,0.8,2.3,0.2,0,11.6,1.9,1.9,1.9,1.5,1.7,425,17,4,12,1,0,61,10,10,10,8,9,Y,3425 S 360TH ST,AUBURN,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
SERENDIPITY ACADEMY AT THE LODGE,2014-15,63,96.8,3.2,3.2,1.6,0,0,3.2,3.2,3.2,1.6,3.2,3.2,61,2,2,1,0,0,2,2,2,1,2,2,Y,4841 TUMWATER VALLEY DR. SE,TUMWATER,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K-6,Y,Y,,,
SERENE LAKE ELEMENTARY,2014-15,437,88.6,5.9,2.5,3.2,0.2,0,2.7,0,3.7,2.5,2.5,5.3,387,26,11,14,1,0,12,0,16,11,11,23,Y,4709 PICNIC POINT RD,EDMONDS,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,,,
SETH WOODARD ELEMENTARY,2014-15,370,87.3,7.8,1.6,5.4,0.5,0.3,4.1,4.1,3.5,4.3,3,6.8,323,29,6,20,2,1,15,15,13,16,11,25,Y,7401 E MISSION,SPOKANE,WEST VALLEY SCHOOL DISTRICT (SPOKANE),SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -5,Y,N,,,
SETON CATHOLIC COLLEGE PREPARATORY HIGH SCHOOL,2014-15,159,66.7,8.2,1.9,6.3,0,0,8.2,0.6,0.6,0.6,0.6,0,106,13,3,10,0,0,13,1,1,1,1,0,Y,811 NE 112TH AVE  #200,VANCOUVER,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,43355,N,N,,,
SEVEN OAKS ELEMENTARY,2014-15,538,94.8,2.6,0.4,2,0,0.2,1.5,1.5,2,1.7,1.9,1.5,510,14,2,11,0,1,8,8,11,9,10,8,Y,1800 SEVEN OAKS DR SE,LACEY,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,,,
SHADLE PARK HIGH SCHOOL,2014-15,1454,84.8,5,0.7,3.9,0.4,0.1,3.6,3.6,2.5,2.3,2.7,2.8,1233,73,10,57,6,1,52,52,36,34,39,41,Y,4327 N ASH ST,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43355,N,N,,,
SHADOW LAKE ELEMENTARY,2014-15,617,89.6,6,1.1,4.5,0.3,0,3.4,3.9,3.6,3.7,3.7,5,553,37,7,28,2,0,21,24,22,23,23,31,Y,22620 SWEENEY ROAD SE,MAPLE VALLEY,TAHOMA SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
SHAHALA MIDDLE SCHOOL,2014-15,1166,33.5,5.4,0.3,4.5,0.6,0,4.2,4,4.2,4,3.8,2.1,391,63,4,52,7,0,49,47,49,47,44,25,Y,601 SE 192ND AVENUE,VANCOUVER,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,43259,N,Y,,,
SHAMROCK EDUCATIONAL ACADEMY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,13032 N MARCH HORSE LN,NEWMAN LAKE,EAST VALLEY SCHOOL DISTRICT (SPOKANE),SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43293,N,N,,,
SHARPSTEIN ELEMENTARY SCHOOL,2014-15,459,94.1,2.2,0.2,2,0,0,1.5,1.3,1.7,1.5,2,1.7,432,10,1,9,0,0,7,6,8,7,9,8,Y,410 HOWARD ST,WALLA WALLA,WALLA WALLA PUBLIC SCHOOLS,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,,,
SHAW ISLAND ELEMENTARY SCHOOL,2014-15,14,28.6,71.4,0,71.4,0,0,64.3,64.3,64.3,64.3,64.3,71.4,4,10,0,10,0,0,9,9,9,9,9,10,Y,PO BOX 426,SHAW ISLAND,SHAW ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y,,,
SHAW MIDDLE SCHOOL,2014-15,603,80.1,4.1,0.3,3.2,0.7,0.2,3.2,3.2,2.7,2.8,3,2.2,483,25,2,19,4,1,19,19,16,17,18,13,Y,4106 N COOK ST,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43289,N,N,,,
